FTP 04/29/2006 08:38:52 69.203.203.58               /pub/erique/www/contests.html 1137
FTP 04/29/2006 08:39:41 69.203.203.58               /pub/erique/www/fiction/fict97/fict797.html 4873
FTP 04/29/2006 08:39:37 69.203.203.58               /pub/erique/www/fiction/fict97/fict497.html 11424
FTP 04/29/2006 08:39:49 69.203.203.58               /pub/erique/www/fiction/fict98/fict1298.html 38294
FTP 04/29/2006 08:39:38 69.203.203.58               /pub/erique/www/fiction/fict97/fict597.html 10485
FTP 04/29/2006 08:39:40 69.203.203.58               /pub/erique/www/fiction/fict97/fict697.html 13490
FTP 04/29/2006 08:39:43 69.203.203.58               /pub/erique/www/fiction/fict97/fict997.html 4230
FTP 04/29/2006 08:39:57 69.203.203.58               /pub/erique/www/fiction/fict98/fict598.html 19208
FTP 04/29/2006 08:39:47 69.203.203.58               /pub/erique/www/fiction/fict98/fict1198.html 10372
FTP 04/29/2006 08:39:46 69.203.203.58               /pub/erique/www/fiction/fict98/fict1098.html 61601
FTP 04/29/2006 08:39:52 69.203.203.58               /pub/erique/www/fiction/fict98/fict298.html 37545
FTP 04/29/2006 08:40:04 69.203.203.58               /pub/erique/www/fiction/fictfrm.html 3378
FTP 04/29/2006 08:39:56 69.203.203.58               /pub/erique/www/fiction/fict98/fict498.html 24373
FTP 04/29/2006 08:40:01 69.203.203.58               /pub/erique/www/fiction/fict98/fict798.html 40803
FTP 04/29/2006 08:39:54 69.203.203.58               /pub/erique/www/fiction/fict98/fict398.html 26221
FTP 04/29/2006 08:40:07 69.203.203.58               /pub/erique/www/fiction/fictfrm2.html 1782
FTP 04/29/2006 08:40:10 69.203.203.58               /pub/erique/www/fiction/fictpict.html 636
FTP 04/29/2006 08:40:02 69.203.203.58               /pub/erique/www/fiction/fict98/fict98.html 1540
FTP 04/29/2006 08:40:03 69.203.203.58               /pub/erique/www/fiction/fict98/fict998.html 7905
FTP 04/29/2006 08:40:17 69.203.203.58               /pub/erique/www/fiction/novels/peak2.html 15955
FTP 04/29/2006 08:40:13 69.203.203.58               /pub/erique/www/fiction/novels/peak.html 2410
FTP 04/29/2006 08:40:26 69.203.203.58               /pub/erique/www/fiction/novels/xmascurl.html 33957
FTP 04/29/2006 08:40:08 69.203.203.58               /pub/erique/www/fiction/fiction.html 2705
FTP 04/29/2006 08:40:09 69.203.203.58               /pub/erique/www/fiction/fictline.html 668
FTP 04/29/2006 08:40:20 69.203.203.58               /pub/erique/www/fiction/novels/peak4.html 13115
FTP 04/29/2006 08:40:34 69.203.203.58               /pub/erique/www/gifs/banana.jpg 4139
FTP 04/29/2006 08:40:15 69.203.203.58               /pub/erique/www/fiction/novels/peak1-2.html 2302
FTP 04/29/2006 08:40:16 69.203.203.58               /pub/erique/www/fiction/novels/peak1-3.html 6956
FTP 04/29/2006 08:40:29 69.203.203.58               /pub/erique/www/gifs/2003halloween2.jpg 7345
FTP 04/29/2006 08:40:40 69.203.203.58               /pub/erique/www/gifs/bread.jpg 3101
FTP 04/29/2006 08:40:23 69.203.203.58               /pub/erique/www/fiction/novels/rosalind.html 30989
FTP 04/29/2006 08:40:48 69.203.203.58               /pub/erique/www/gifs/eric_as_sp.jpg 8098
FTP 04/29/2006 08:40:36 69.203.203.58               /pub/erique/www/gifs/birdumb2.gif 4698
FTP 04/29/2006 08:40:24 69.203.203.58               /pub/erique/www/fiction/novels/wpeak.jpg 52861
FTP 04/29/2006 08:40:31 69.203.203.58               /pub/erique/www/gifs/58-w-cliffs.JPG 87228
FTP 04/29/2006 08:40:43 69.203.203.58               /pub/erique/www/gifs/carnegiecover.jpg 8610
FTP 04/29/2006 08:40:33 69.203.203.58               /pub/erique/www/gifs/babygr.jpg 26214
FTP 04/29/2006 08:40:50 69.203.203.58               /pub/erique/www/gifs/famagicleft.gif 2572
FTP 04/29/2006 08:40:54 69.203.203.58               /pub/erique/www/gifs/happy.jpg 3135
FTP 04/29/2006 08:40:38 69.203.203.58               /pub/erique/www/gifs/blank.jpg 705
FTP 04/29/2006 08:40:39 69.203.203.58               /pub/erique/www/gifs/boobies.gif 11144
FTP 04/29/2006 08:40:45 69.203.203.58               /pub/erique/www/gifs/classic.gif 19483
FTP 04/29/2006 08:41:02 69.203.203.58               /pub/erique/www/gifs/mouthf1.jpg 3650
FTP 04/29/2006 08:40:58 69.203.203.58               /pub/erique/www/gifs/leopold.jpg 38609
FTP 04/29/2006 08:41:09 69.203.203.58               /pub/erique/www/gifs/program2a.jpg 16735
FTP 04/29/2006 08:40:52 69.203.203.58               /pub/erique/www/gifs/famagicright.gif 2568
FTP 04/29/2006 08:40:46 69.203.203.58               /pub/erique/www/gifs/conductor.jpg 10084
FTP 04/29/2006 08:41:04 69.203.203.58               /pub/erique/www/gifs/ornament.jpg 3688
FTP 04/29/2006 08:41:16 69.203.203.58               /pub/erique/www/gifs/rosalind.gif 13968
FTP 04/29/2006 08:40:53 69.203.203.58               /pub/erique/www/gifs/goldstar.jpg 1854
FTP 04/29/2006 08:41:22 69.203.203.58               /pub/erique/www/gifs/toaster.gif 1049
FTP 04/29/2006 08:40:59 69.203.203.58               /pub/erique/www/gifs/me.jpg 1585
FTP 04/29/2006 08:41:11 69.203.203.58               /pub/erique/www/gifs/quill.jpg 6648
FTP 04/29/2006 08:41:01 69.203.203.58               /pub/erique/www/gifs/mom&dad.jpg 60996
FTP 04/29/2006 08:41:30 69.203.203.58               /pub/erique/www/haiku/1996/haiku296.html 16138
FTP 04/29/2006 08:41:06 69.203.203.58               /pub/erique/www/gifs/paper.gif 4756
FTP 04/29/2006 08:41:18 69.203.203.58               /pub/erique/www/gifs/seal.gif 3856
FTP 04/29/2006 08:41:07 69.203.203.58               /pub/erique/www/gifs/program1a.jpg 19427
FTP 04/29/2006 08:41:37 69.203.203.58               /pub/erique/www/haiku/1996/haiku796.html 14361
FTP 04/29/2006 08:41:13 69.203.203.58               /pub/erique/www/gifs/quill1.gif 4312
FTP 04/29/2006 08:41:24 69.203.203.58               /pub/erique/www/gifs/woman.gif 9657
FTP 04/29/2006 08:41:45 69.203.203.58               /pub/erique/www/haiku/1997/haik1197.html 26399
FTP 04/29/2006 08:41:14 69.203.203.58               /pub/erique/www/gifs/quill2.gif 4300
FTP 04/29/2006 08:41:33 69.203.203.58               /pub/erique/www/haiku/1996/haiku496.html 19025
FTP 04/29/2006 08:41:19 69.203.203.58               /pub/erique/www/gifs/star3.gif 1536
FTP 04/29/2006 08:41:53 69.203.203.58               /pub/erique/www/haiku/1997/haiku397.html 42491
FTP 04/29/2006 08:41:26 69.203.203.58               /pub/erique/www/haiku/1996/bestof96.html 17138
FTP 04/29/2006 08:41:40 69.203.203.58               /pub/erique/www/haiku/1996/haiku996.html 14845
FTP 04/29/2006 08:41:20 69.203.203.58               /pub/erique/www/gifs/toast.gif 8928
FTP 04/29/2006 08:42:01 69.203.203.58               /pub/erique/www/haiku/1997/haiku997.html 28323
FTP 04/29/2006 08:41:34 69.203.203.58               /pub/erique/www/haiku/1996/haiku596.html 10476
FTP 04/29/2006 08:42:09 69.203.203.58               /pub/erique/www/haiku/1998/haiku198.html 25922
FTP 04/29/2006 08:41:48 69.203.203.58               /pub/erique/www/haiku/1997/haik1997.html 1974
FTP 04/29/2006 08:42:17 69.203.203.58               /pub/erique/www/haiku/1998/haiku698.html 26705
FTP 04/29/2006 08:41:28 69.203.203.58               /pub/erique/www/haiku/1996/haiku196.html 10159
FTP 04/29/2006 08:41:42 69.203.203.58               /pub/erique/www/haiku/1996/lastleaf.jpg 52810
FTP 04/29/2006 08:41:56 69.203.203.58               /pub/erique/www/haiku/1997/haiku597.html 30659
FTP 04/29/2006 08:42:24 69.203.203.58               /pub/erique/www/haiku/haik1995/bestof95.html 7955
FTP 04/29/2006 08:41:49 69.203.203.58               /pub/erique/www/haiku/1997/haiku197.html 34967
FTP 04/29/2006 08:41:35 69.203.203.58               /pub/erique/www/haiku/1996/haiku696.html 9779
FTP 04/29/2006 08:42:04 69.203.203.58               /pub/erique/www/haiku/1998/haik1198.html 36876
FTP 04/29/2006 08:42:31 69.203.203.58               /pub/erique/www/haiku/haik1995/haikunov.html 12211
FTP 04/29/2006 08:42:12 69.203.203.58               /pub/erique/www/haiku/1998/haiku398.html 47804
FTP 04/29/2006 08:42:38 69.203.203.58               /pub/erique/www/haiku/haiku199.html 34287
FTP 04/29/2006 08:41:58 69.203.203.58               /pub/erique/www/haiku/1997/haiku697.html 26478
FTP 04/29/2006 08:41:43 69.203.203.58               /pub/erique/www/haiku/1997/haik1097.html 24055
FTP 04/29/2006 08:42:06 69.203.203.58               /pub/erique/www/haiku/1998/haik1298.html 28856
FTP 04/29/2006 08:42:46 69.203.203.58               /pub/erique/www/haiku/haikufrm.html 534
FTP 04/29/2006 08:42:21 69.203.203.58               /pub/erique/www/haiku/1998/haiku998.html 38887
FTP 04/29/2006 08:41:51 69.203.203.58               /pub/erique/www/haiku/1997/haiku297.html 48218
FTP 04/29/2006 08:42:14 69.203.203.58               /pub/erique/www/haiku/1998/haiku498.html 33616
FTP 04/29/2006 08:42:53 69.203.203.58               /pub/erique/www/limerick/1995/nautaug.html 7940
FTP 04/29/2006 08:42:27 69.203.203.58               /pub/erique/www/haiku/haik1995/haikudec.html 16234
FTP 04/29/2006 08:43:00 69.203.203.58               /pub/erique/www/limerick/1995/nautnov.html 13933
FTP 04/29/2006 08:42:22 69.203.203.58               /pub/erique/www/haiku/goldstar.gif 344
FTP 04/29/2006 08:42:34 69.203.203.58               /pub/erique/www/haiku/haik1995/haikusep.html 5645
FTP 04/29/2006 08:41:59 69.203.203.58               /pub/erique/www/haiku/1997/haiku797.html 23929
FTP 04/29/2006 08:43:06 69.203.203.58               /pub/erique/www/limerick/1995/nicejuly.html 1086
FTP 04/29/2006 08:42:07 69.203.203.58               /pub/erique/www/haiku/1998/haik1998.html 2014
FTP 04/29/2006 08:42:42 69.203.203.58               /pub/erique/www/haiku/haiku399.html 75208
FTP 04/29/2006 08:42:28 69.203.203.58               /pub/erique/www/haiku/haik1995/haikujul.html 2170
FTP 04/29/2006 08:43:13 69.203.203.58               /pub/erique/www/limerick/1995/nicesept.html 3676
FTP 04/29/2006 08:42:49 69.203.203.58               /pub/erique/www/limerick/1995/1995.html 1428
FTP 04/29/2006 08:42:16 69.203.203.58               /pub/erique/www/haiku/1998/haiku598.html 28935
FTP 04/29/2006 08:42:35 69.203.203.58               /pub/erique/www/haiku/haik1995/yuckunov.html 720
FTP 04/29/2006 08:42:56 69.203.203.58               /pub/erique/www/limerick/1995/nautjuly.html 3106
FTP 04/29/2006 08:43:20 69.203.203.58               /pub/erique/www/limerick/1996/nau1296.html 25921
FTP 04/29/2006 08:42:23 69.203.203.58               /pub/erique/www/haiku/haik1995/1995.html 951
FTP 04/29/2006 08:42:43 69.203.203.58               /pub/erique/www/haiku/haiku499.html 54815
FTP 04/29/2006 08:43:02 69.203.203.58               /pub/erique/www/limerick/1995/nautsept.html 7977
FTP 04/29/2006 08:43:29 69.203.203.58               /pub/erique/www/limerick/1996/naut496.html 21599
FTP 04/29/2006 08:42:30 69.203.203.58               /pub/erique/www/haiku/haik1995/haikujun.html 2332
FTP 04/29/2006 08:42:50 69.203.203.58               /pub/erique/www/limerick/1995/bestnaut.html 10247
FTP 04/29/2006 08:43:09 69.203.203.58               /pub/erique/www/limerick/1995/nicemay.html 1859
FTP 04/29/2006 08:43:36 69.203.203.58               /pub/erique/www/limerick/1996/naut996.html 13852
FTP 04/29/2006 08:42:36 69.203.203.58               /pub/erique/www/haiku/haiku.html 2147
FTP 04/29/2006 08:43:43 69.203.203.58               /pub/erique/www/limerick/1996/nice296.html 9047
FTP 04/29/2006 08:43:15 69.203.203.58               /pub/erique/www/limerick/1996/lim1996.html 2072
FTP 04/29/2006 08:42:57 69.203.203.58               /pub/erique/www/limerick/1995/nautjune.html 3274
FTP 04/29/2006 08:43:50 69.203.203.58               /pub/erique/www/limerick/1996/nice796.html 10929
FTP 04/29/2006 08:42:45 69.203.203.58               /pub/erique/www/haiku/haiku599.html 33609
FTP 04/29/2006 08:43:58 69.203.203.58               /pub/erique/www/limerick/1997/naut1197.html 42998
FTP 04/29/2006 08:43:04 69.203.203.58               /pub/erique/www/limerick/1995/niceaug.html 4489
FTP 04/29/2006 08:43:24 69.203.203.58               /pub/erique/www/limerick/1996/naut196.html 38213
FTP 04/29/2006 08:44:06 69.203.203.58               /pub/erique/www/limerick/1997/naut497.html 43346
FTP 04/29/2006 08:42:52 69.203.203.58               /pub/erique/www/limerick/1995/bestnice.html 6154
FTP 04/29/2006 08:43:10 69.203.203.58               /pub/erique/www/limerick/1995/nicenov.html 5429
FTP 04/29/2006 08:44:15 69.203.203.58               /pub/erique/www/limerick/1997/nice1097.html 20810
FTP 04/29/2006 08:43:32 69.203.203.58               /pub/erique/www/limerick/1996/naut696.html 13746
FTP 04/29/2006 08:42:58 69.203.203.58               /pub/erique/www/limerick/1995/nautmay.html 4260
FTP 04/29/2006 08:43:17 69.203.203.58               /pub/erique/www/limerick/1996/nau1096.html 23475
FTP 04/29/2006 08:44:23 69.203.203.58               /pub/erique/www/limerick/1997/nice397.html 13929
FTP 04/29/2006 08:43:39 69.203.203.58               /pub/erique/www/limerick/1996/nic1196.html 11053
FTP 04/29/2006 08:44:30 69.203.203.58               /pub/erique/www/limerick/1997/nice997.html 24299
FTP 04/29/2006 08:43:25 69.203.203.58               /pub/erique/www/limerick/1996/naut296.html 30357
FTP 04/29/2006 08:43:05 69.203.203.58               /pub/erique/www/limerick/1995/nicedec.html 13251
FTP 04/29/2006 08:43:46 69.203.203.58               /pub/erique/www/limerick/1996/nice496.html 15372
FTP 04/29/2006 08:44:38 69.203.203.58               /pub/erique/www/limerick/1998/naut198.html 38022
FTP 04/29/2006 08:43:33 69.203.203.58               /pub/erique/www/limerick/1996/naut796.html 9432
FTP 04/29/2006 08:43:11 69.203.203.58               /pub/erique/www/limerick/1995/niceoct.html 5007
FTP 04/29/2006 08:43:53 69.203.203.58               /pub/erique/www/limerick/1996/nice996.html 4972
FTP 04/29/2006 08:44:47 69.203.203.58               /pub/erique/www/limerick/1998/naut698.html 41193
FTP 04/29/2006 08:44:01 69.203.203.58               /pub/erique/www/limerick/1997/naut197.html 27246
FTP 04/29/2006 08:44:55 69.203.203.58               /pub/erique/www/limerick/1998/nice1298.html 22822
FTP 04/29/2006 08:43:40 69.203.203.58               /pub/erique/www/limerick/1996/nic1296.html 19459
FTP 04/29/2006 08:43:19 69.203.203.58               /pub/erique/www/limerick/1996/nau1196.html 14916
FTP 04/29/2006 08:44:09 69.203.203.58               /pub/erique/www/limerick/1997/naut697.html 24732
FTP 04/29/2006 08:45:04 69.203.203.58               /pub/erique/www/limerick/1998/nice598.html 45520
FTP 04/29/2006 08:43:48 69.203.203.58               /pub/erique/www/limerick/1996/nice596.html 13725
FTP 04/29/2006 08:43:27 69.203.203.58               /pub/erique/www/limerick/1996/naut396.html 17461
FTP 04/29/2006 08:45:11 69.203.203.58               /pub/erique/www/limerick/brady/brady2.html 637
FTP 04/29/2006 08:44:18 69.203.203.58               /pub/erique/www/limerick/1997/nice1297.html 24100
FTP 04/29/2006 08:43:35 69.203.203.58               /pub/erique/www/limerick/1996/naut896.html 14574
FTP 04/29/2006 08:43:54 69.203.203.58               /pub/erique/www/limerick/1997/lim1997.html 1925
FTP 04/29/2006 08:45:17 69.203.203.58               /pub/erique/www/limerick/brady/brady99.html 7546
FTP 04/29/2006 08:44:26 69.203.203.58               /pub/erique/www/limerick/1997/nice597.html 16764
FTP 04/29/2006 08:43:42 69.203.203.58               /pub/erique/www/limerick/1996/nice196.html 10647
FTP 04/29/2006 08:45:24 69.203.203.58               /pub/erique/www/limerick/docs/formhint.html 2522
FTP 04/29/2006 08:44:03 69.203.203.58               /pub/erique/www/limerick/1997/naut297.html 31034
FTP 04/29/2006 08:43:49 69.203.203.58               /pub/erique/www/limerick/1996/nice696.html 7043
FTP 04/29/2006 08:44:33 69.203.203.58               /pub/erique/www/limerick/1998/naut1098.html 29294
FTP 04/29/2006 08:45:31 69.203.203.58               /pub/erique/www/limerick/naut299.html 23095
FTP 04/29/2006 08:44:11 69.203.203.58               /pub/erique/www/limerick/1997/naut797.html 22034
FTP 04/29/2006 08:43:56 69.203.203.58               /pub/erique/www/limerick/1997/naut1097.html 35530
FTP 04/29/2006 08:44:42 69.203.203.58               /pub/erique/www/limerick/1998/naut398.html 58324
FTP 04/29/2006 08:45:39 69.203.203.58               /pub/erique/www/limerick/nice199.html 25313
FTP 04/29/2006 08:44:19 69.203.203.58               /pub/erique/www/limerick/1997/nice197.html 17698
FTP 04/29/2006 08:44:04 69.203.203.58               /pub/erique/www/limerick/1997/naut397.html 21435
FTP 04/29/2006 08:44:50 69.203.203.58               /pub/erique/www/limerick/1998/naut998.html 35543
FTP 04/29/2006 08:45:47 69.203.203.58               /pub/erique/www/limerick/nicefrm.html 557
FTP 04/29/2006 08:44:27 69.203.203.58               /pub/erique/www/limerick/1997/nice697.html 18475
FTP 04/29/2006 08:44:13 69.203.203.58               /pub/erique/www/limerick/1997/naut997.html 53317
FTP 04/29/2006 08:44:59 69.203.203.58               /pub/erique/www/limerick/1998/nice298.html 24359
FTP 04/29/2006 08:45:53 69.203.203.58               /pub/erique/www/midi/gross.mid 8171
FTP 04/29/2006 08:45:07 69.203.203.58               /pub/erique/www/limerick/1998/nice798.html 18342
FTP 04/29/2006 08:44:21 69.203.203.58               /pub/erique/www/limerick/1997/nice297.html 16613
FTP 04/29/2006 08:44:35 69.203.203.58               /pub/erique/www/limerick/1998/naut1198.html 22126
FTP 04/29/2006 08:44:29 69.203.203.58               /pub/erique/www/limerick/1997/nice797.html 19339
FTP 04/29/2006 08:45:59 69.203.203.58               /pub/erique/www/prideandjoy.html 4887
FTP 04/29/2006 08:45:13 69.203.203.58               /pub/erique/www/limerick/brady/brady96.html 6418
FTP 04/29/2006 08:44:43 69.203.203.58               /pub/erique/www/limerick/1998/naut498.html 31946
FTP 04/29/2006 08:44:36 69.203.203.58               /pub/erique/www/limerick/1998/naut1298.html 31614
FTP 04/29/2006 08:46:06 69.203.203.58               /pub/erique/www/rapture/gon-baby.gif 2847
FTP 04/29/2006 08:45:20 69.203.203.58               /pub/erique/www/limerick/brady/thebunch.gif 41886
FTP 04/29/2006 08:44:52 69.203.203.58               /pub/erique/www/limerick/1998/nice1098.html 32559
FTP 04/29/2006 08:44:45 69.203.203.58               /pub/erique/www/limerick/1998/naut598.html 63665
FTP 04/29/2006 08:46:12 69.203.203.58               /pub/erique/www/rapture/hogwartsruddigore.txt 3957
FTP 04/29/2006 08:45:27 69.203.203.58               /pub/erique/www/limerick/goldstar.gif 344
FTP 04/29/2006 08:46:19 69.203.203.58               /pub/erique/www/rapture/pirates.gif 4045
FTP 04/29/2006 08:44:53 69.203.203.58               /pub/erique/www/limerick/1998/nice1198.html 27306
FTP 04/29/2006 08:45:00 69.203.203.58               /pub/erique/www/limerick/1998/nice398.html 36584
FTP 04/29/2006 08:45:35 69.203.203.58               /pub/erique/www/limerick/naut499.html 38163
FTP 04/29/2006 08:46:25 69.203.203.58               /pub/erique/www/rapture/trialbyjury.html 3221
FTP 04/29/2006 08:45:42 69.203.203.58               /pub/erique/www/limerick/nice399.html 31092
FTP 04/29/2006 08:46:31 69.203.203.58               /pub/erique/www/toastpt2.gif 2980
FTP 04/29/2006 08:45:02 69.203.203.58               /pub/erique/www/limerick/1998/nice498.html 32863
FTP 04/29/2006 08:45:08 69.203.203.58               /pub/erique/www/limerick/1998/nice998.html 24712
FTP 04/29/2006 08:46:37 69.203.203.58               /pub/erique/www/travel/scotland/scotland2001.html 1042
FTP 04/29/2006 08:45:49 69.203.203.58               /pub/erique/www/linksold.html 4697
FTP 04/29/2006 08:45:15 69.203.203.58               /pub/erique/www/limerick/brady/brady97.html 10474
FTP 04/29/2006 08:45:09 69.203.203.58               /pub/erique/www/limerick/brady/brady1.html 4493
FTP 04/29/2006 08:45:56 69.203.203.58               /pub/erique/www/news.html 1340
FTP 04/29/2006 08:45:22 69.203.203.58               /pub/erique/www/limerick/docs/editing.html 2346
FTP 04/29/2006 08:46:43 69.203.203.58               /pub/erique/www/writing/english.html 4064
FTP 04/29/2006 08:45:16 69.203.203.58               /pub/erique/www/limerick/brady/brady98.html 8297
FTP 04/29/2006 08:46:50 69.203.203.58               /pub/erique/www/writing/pumpkin.html 3677
FTP 04/29/2006 08:45:23 69.203.203.58               /pub/erique/www/limerick/docs/fletcher.html 5576
FTP 04/29/2006 08:45:28 69.203.203.58               /pub/erique/www/limerick/limerick.html 2613
FTP 04/29/2006 08:46:02 69.203.203.58               /pub/erique/www/rapture/billmon.html 26545
FTP 04/29/2006 08:45:36 69.203.203.58               /pub/erique/www/limerick/naut599.html 21235
FTP 04/29/2006 08:45:30 69.203.203.58               /pub/erique/www/limerick/naut199.html 34481
FTP 04/29/2006 08:46:08 69.203.203.58               /pub/erique/www/rapture/harrypotteryeomen.txt 1292
FTP 04/29/2006 08:45:37 69.203.203.58               /pub/erique/www/limerick/nautfrm.html 548
FTP 04/29/2006 08:45:44 69.203.203.58               /pub/erique/www/limerick/nice499.html 24193
FTP 04/29/2006 08:46:15 69.203.203.58               /pub/erique/www/rapture/ida-monk.gif 3753
FTP 04/29/2006 08:45:46 69.203.203.58               /pub/erique/www/limerick/nice599.html 26033
FTP 04/29/2006 08:45:51 69.203.203.58               /pub/erique/www/midi/3elephs.mid 3309
FTP 04/29/2006 08:45:57 69.203.203.58               /pub/erique/www/photo.html 3329
FTP 04/29/2006 08:46:21 69.203.203.58               /pub/erique/www/rapture/rud-spec.gif 2489
FTP 04/29/2006 08:45:52 69.203.203.58               /pub/erique/www/midi/deusmeus.mid 3644
FTP 04/29/2006 08:46:27 69.203.203.58               /pub/erique/www/rapture/yeo-song.gif 2781
FTP 04/29/2006 08:46:03 69.203.203.58               /pub/erique/www/rapture/bunthorne.gif 3137
FTP 04/29/2006 08:46:33 69.203.203.58               /pub/erique/www/travel/ireland/ireland.html 2717
FTP 04/29/2006 08:46:09 69.203.203.58               /pub/erique/www/rapture/hms-dick.gif 3100
FTP 04/29/2006 08:45:58 69.203.203.58               /pub/erique/www/ponder.html 2856
FTP 04/29/2006 08:46:40 69.203.203.58               /pub/erique/www/welcomeother.html 589
FTP 04/29/2006 08:46:16 69.203.203.58               /pub/erique/www/rapture/iolanthe.gif 2814
FTP 04/29/2006 08:46:46 69.203.203.58               /pub/erique/www/writing/funny.html 6412
FTP 04/29/2006 08:46:04 69.203.203.58               /pub/erique/www/rapture/gd-jimj.gif 3783
FTP 04/29/2006 08:46:23 69.203.203.58               /pub/erique/www/rapture/sor-well.gif 2583
FTP 04/29/2006 08:46:53 69.203.203.58               /pub/erique/www/wumpus.html 653
FTP 04/29/2006 08:46:11 69.203.203.58               /pub/erique/www/rapture/hogwartsiolanthe.txt 17300
FTP 04/29/2006 08:46:29 69.203.203.58               /pub/erique/www/toastpointtoc.html 771
FTP 04/29/2006 08:46:17 69.203.203.58               /pub/erique/www/rapture/mik-lips.gif 3352
FTP 04/29/2006 08:46:35 69.203.203.58               /pub/erique/www/travel/ireland/ireland1.html 5794
FTP 04/29/2006 08:46:41 69.203.203.58               /pub/erique/www/whytoastpoint.html 605
FTP 04/29/2006 08:46:24 69.203.203.58               /pub/erique/www/rapture/tbj-jury.gif 3904
FTP 04/29/2006 08:38:51 69.203.203.58               /pub/erique/www/bio.html 6518
FTP 04/29/2006 08:38:58 69.203.203.58               /pub/erique/www/fiction/fict199.html 21503
FTP 04/29/2006 08:39:06 69.203.203.58               /pub/erique/www/fiction/fict9596/fic1096.html 26986
FTP 04/29/2006 08:39:14 69.203.203.58               /pub/erique/www/fiction/fict9596/fict196.html 12060
FTP 04/29/2006 08:39:21 69.203.203.58               /pub/erique/www/fiction/fict9596/fict696.html 15163
FTP 04/29/2006 08:39:28 69.203.203.58               /pub/erique/www/fiction/fict97/fict1097.html 10353
FTP 04/29/2006 08:39:36 69.203.203.58               /pub/erique/www/fiction/fict97/fict397.html 11668
FTP 04/29/2006 08:39:42 69.203.203.58               /pub/erique/www/fiction/fict97/fict97.html 1536
FTP 04/29/2006 08:39:51 69.203.203.58               /pub/erique/www/fiction/fict98/fict198.html 62967
FTP 04/29/2006 08:39:59 69.203.203.58               /pub/erique/www/fiction/fict98/fict698.html 12890
FTP 04/29/2006 08:40:05 69.203.203.58               /pub/erique/www/fiction/fictfrm.old 3455
FTP 04/29/2006 08:40:12 69.203.203.58               /pub/erique/www/fiction/novels/parkey.html 25723
FTP 04/29/2006 08:40:19 69.203.203.58               /pub/erique/www/fiction/novels/peak3.html 6906
FTP 04/29/2006 08:40:28 69.203.203.58               /pub/erique/www/fiction/tyrolthb.gif 13216
FTP 04/29/2006 08:40:35 69.203.203.58               /pub/erique/www/gifs/birdumb.gif 4704
FTP 04/29/2006 08:40:42 69.203.203.58               /pub/erique/www/gifs/carnegieband.jpg 46990
FTP 04/29/2006 08:40:49 69.203.203.58               /pub/erique/www/gifs/ericsam.jpg 31118
FTP 04/29/2006 08:40:56 69.203.203.58               /pub/erique/www/gifs/japan.gif 5737
FTP 04/29/2006 08:41:03 69.203.203.58               /pub/erique/www/gifs/nakedman.gif 7734
FTP 04/29/2006 08:41:10 69.203.203.58               /pub/erique/www/gifs/quill.gif 4312
